species,Longitude,Latitude
Ae.albopictus,12.597542,49.676432
Ae.albopictus,14.66647,49.5332
Ae.albopictus,10.45,51.16
Ae.albopictus,12.2018,47.6041
Ae.albopictus,9.35,48.66
Ae.albopictus,9.16,50.65
Ae.albopictus,21.82,39.07
Ae.albopictus,-3.74,40.46
Ae.albopictus,10.92,44.6488
Ae.albopictus,16.2537,39.2982
Ae.albopictus,11.1123,42.7635
Ae.albopictus,19.5033,47.1624
Ae.albopictus,23.865,23.75504
Ae.albopictus,23.5008,38.075
Ae.albopictus,13.7791,45.5177
Ae.albopictus,4.46,50.5
Ae.albopictus,15.904769,45.783521
Ae.albopictus,2.21,46.22
Ae.albopictus,21.005,44.0165
Ae.albopictus,8.22,46.81
Ae.albopictus,26.9319,40.8623
Ae.albopictus,0.508194444,41.36388889
Ae.albopictus,4.4024,51.2194
Ae.albopictus,16.4401,43.5081
Ae.albopictus,4.7884,52.5205
Ae.albopictus,16.3738,48.2081
Ae.albopictus,13.3285,43.60416
Ae.albopictus,13.8556218,43.0365738
Ae.albopictus,9.1109948,39.2222481
Ae.albopictus,6.42773,43.1527
Ae.albopictus,5.4142,43.29807
Ae.albopictus,4.13333,43.71613
Ae.albopictus,5.05247,43.92207
Ae.albopictus,2.85823,42.4756
Ae.albopictus,7.34941,43.76529
Ae.albopictus,9.01651,46.17691
Ae.albopictus,12.03386,43.12087
Ae.albopictus,12.5182392,42.5340651
Ae.albopictus,10.401,48.333
Ae.albopictus,11.319,49.115
Ae.albopictus,6.481,50.752
Ae.albopictus,15.549007,41.4718386
Ae.albopictus,9.383538938,44.99070095
Ae.albopictus,11.97900633,44.87536704
Ae.albopictus,12.23491567,44.13037662
Ae.albopictus,4.250313,39.887258
Ae.albopictus,39.71666,43.58333
Ae.albopictus,38.7,44.31666
Ae.albopictus,35.9,31.45
Ae.albopictus,35.7,32.3
Ae.albopictus,41.64482,41.63498
Ae.albopictus,-8.093,37.09
Ae.albopictus,22.91175,40.83841
Ae.albopictus,26.2528,39.21446
Ae.albopictus,23.93306,41.19122
Ae.albopictus,24.90353,41.0902
Ae.albopictus,24.0592,35.49377
Ae.albopictus,18.6719,45.5278
Ae.albopictus,9.944093,49.793261
Ae.albopictus,8.4148,48.46431
Ae.albopictus,7.011,51.45
Ae.albopictus,11.608549,50.891075
Ae.albopictus,8.68671,49.402586
Ae.albopictus,0.742759,40.73569
Ae.albopictus,-3.391718,36.737956
Ae.albopictus,-1.784523,43.318746
Ae.albopictus,-1.199301,38.122899
Ae.albopictus,-0.436192,39.433964
Ae.albopictus,-1.7283,37.399859
Ae.albopictus,1.356161,41.163691
Ae.albopictus,1.358583,38.996346
Ae.albopictus,2.98198,41.82743
Ae.albopictus,2.236994,41.461811
Ae.albopictus,1.847919,42.100634
Ae.albopictus,2.712512,39.707632
Ae.albopictus,-4.55214,36.660033
Ae.albopictus,20.38,42.19
Ae.albopictus,19.84,41.25
Ae.albopictus,20.18,40.16
Ae.albopictus,19.52,42.07
Ae.albopictus,20.79,40.62
Ae.albopictus,16.26,47.14
Ae.albopictus,16.99,44.67
Ae.albopictus,27.31,42.45
Ae.albopictus,14.68,45.06
Ae.albopictus,15.4,44.18
Ae.albopictus,18.03,42.72
Ae.albopictus,16.59,49.12
Ae.albopictus,2.1,49.08
Ae.albopictus,2.98,48.62
Ae.albopictus,0.06,48.58
Ae.albopictus,5.73,46.78
Ae.albopictus,4.54,46.66
Ae.albopictus,6.4,45.5
Ae.albopictus,5.55,45.29
Ae.albopictus,-0.47,44.88
Ae.albopictus,4.37,44.82
Ae.albopictus,0.47,44.37
Ae.albopictus,2.65,44.32
Ae.albopictus,6.23,44.16
Ae.albopictus,1.24,43.3
Ae.albopictus,-0.88,43.19
Ae.albopictus,2.47,43.05
Ae.albopictus,0.48,46.76
Ae.albopictus,5.19,45.91
Ae.albopictus,23.7,40.27
Ae.albopictus,22.39,40.25
Ae.albopictus,21.87,38.06
Ae.albopictus,22.7,37.92
Ae.albopictus,20.81,37.79
Ae.albopictus,21.97,37.09
Ae.albopictus,8.93,44.42
Ae.albopictus,11.79,42.09
Ae.albopictus,9.94,46.32
Ae.albopictus,12.21,46.28
Ae.albopictus,12.54,45.58
Ae.albopictus,8.35,45.55
Ae.albopictus,7.39,45.16
Ae.albopictus,7.56,44.46
Ae.albopictus,9.97,44.22
Ae.albopictus,11.23,43.85
Ae.albopictus,10.54,43.28
Ae.albopictus,14.01,42.31
Ae.albopictus,14.77,41.72
Ae.albopictus,16.64,41.03
Ae.albopictus,8.96,40.8
Ae.albopictus,17.25,40.55
Ae.albopictus,15.87,40.52
Ae.albopictus,18.14,40.15
Ae.albopictus,8.72,40.03
Ae.albopictus,16.11,38.24
Ae.albopictus,13.61,37.88
Ae.albopictus,14.44,37.59
Ae.albopictus,15.05,37.03
Ae.albopictus,11.56,45.7
Ae.albopictus,10.32,45.52
Ae.albopictus,12.45,41.63
Ae.albopictus,14.28,40.85
Ae.albopictus,35.57,33.86
Ae.albopictus,14.45,35.9
Ae.albopictus,19.4,42.7
Ae.albopictus,4.29,51.86
Ae.albopictus,5.56,51.68
Ae.albopictus,26.11,44.44
Ae.albopictus,39.17,45.12
Ae.albopictus,19.67,44.92
Ae.albopictus,21.29,48.68
Ae.albopictus,-0.17,40.25
Ae.albopictus,-0.43,38.37
Ae.albopictus,-2.08,41.47
Ae.albopictus,36.3852,34.3965
Ae.albopictus,13.233,46.066
Ae.albopictus,20.2333,39.5167
Ae.albopictus,35.86,35.5
Ae.albopictus,9.4065,42.017
Ae.albopictus,9.4127,42.687
Ae.albopictus,13.65,41.45
Ae.albopictus,14.312362,46.168605
Ae.albopictus,15.300095,46.385711
Ae.albopictus,11.8,48.2928
Ae.albopictus,8.02,50
Ae.albopictus,7.6075,47.62544
